[14:35:43 - main] [Cooja.java:3181] [WARN] - JAVA_HOME environment variable not set, Cooja motes may not compile
[14:35:43 - main] [Cooja.java:1324] [INFO] - > Starting Cooja
[14:35:43 - main] [Cooja.java:2865] [INFO] - External tools default settings: /external_tools_linux_64.config
[14:35:43 - main] [Cooja.java:2895] [INFO] - External tools user settings: /home/user/.cooja.user.properties
[14:35:43 - main] [Simulation.java:420] [INFO] - Simulation random seed: -7621161150846456447
[14:35:43 - main] [CompileContiki.java:140] [INFO] - > make udp-server.z1 TARGET=z1 
[14:35:43 - main] [CompileContiki.java:140] [INFO] - > make er-example-observe-client-09-0.z1 TARGET=z1 
[14:35:43 - main] [CompileContiki.java:140] [INFO] - > make er-example-server.z1 TARGET=z1 
[14:35:43 - main] [CompileContiki.java:140] [INFO] - > make udp-server.sky TARGET=sky 
[14:35:43 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-observe-client-09-0.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-server.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-server.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-server.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-server.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-server.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-server.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/er-rest-example/er-example-server.z1
[14:35:44 - main] [MspMote.java:235] [INFO] - Loading firmware from: /home/user/LabWork/HBEB/contiki-3/examples/ipv6/rpl-udp/udp-server.sky
